,short,middle,long
0,0.002,0.003,0.012
0.005,0.003,0.003,0.011
0.01,0.007,0.008,0.017
0.015,0.014,0.018,0.029
0.02,0.023,0.03,0.044
0.025,0.034,0.044,0.061
0.03,0.046,0.06,0.081
0.035,0.061,0.079,0.103
0.04,0.078,0.1,0.127
0.045,0.096,0.123,0.152
0.05,0.111,0.141,0.173
0.055,0.128,0.161,0.196
0.06,0.145,0.182,0.22
0.065,0.164,0.205,0.245
0.07,0.183,0.228,0.27
0.075,0.203,0.252,0.296
0.08,0.224,0.276,0.323
0.085,0.244,0.301,0.349
0.09,0.265,0.326,0.375
0.095,0.287,0.351,0.402
0.1,0.309,0.376,0.429
0.105,0.331,0.401,0.455
0.11,0.352,0.426,0.481
0.115,0.373,0.45,0.506
0.12,0.394,0.474,0.531
0.125,0.414,0.496,0.554
0.13,0.433,0.518,0.577
0.135,0.452,0.539,0.599
0.14,0.47,0.56,0.62
0.145,0.487,0.579,0.641
0.15,0.503,0.598,0.66
0.155,0.519,0.615,0.678
0.16,0.533,0.631,0.695
0.165,0.546,0.646,0.711
0.17,0.559,0.66,0.726
0.175,0.57,0.674,0.74
0.18,0.582,0.686,0.754
0.185,0.592,0.698,0.767
0.19,0.602,0.709,0.778
0.195,0.61,0.719,0.789
0.2,0.618,0.728,0.799
0.205,0.625,0.737,0.809
0.21,0.632,0.744,0.817
0.215,0.637,0.751,0.825
0.22,0.643,0.758,0.833
0.225,0.648,0.764,0.84
0.23,0.653,0.77,0.847
0.235,0.657,0.775,0.853
0.24,0.661,0.78,0.859
0.245,0.664,0.784,0.864
0.25,0.667,0.788,0.869
0.255,0.67,0.792,0.874
0.26,0.672,0.796,0.878
0.265,0.675,0.799,0.883
0.27,0.677,0.803,0.887
0.275,0.679,0.806,0.891
0.28,0.681,0.809,0.895
0.285,0.682,0.811,0.898
0.29,0.684,0.814,0.901
0.295,0.685,0.816,0.904
0.3,0.687,0.818,0.907
0.305,0.688,0.821,0.91
0.31,0.69,0.823,0.913
0.315,0.691,0.826,0.916
0.32,0.692,0.828,0.918
0.325,0.693,0.829,0.921
0.33,0.694,0.831,0.923
0.335,0.695,0.833,0.925
0.34,0.697,0.835,0.927
0.345,0.699,0.837,0.93
0.35,0.7,0.839,0.932
0.355,0.702,0.841,0.934
0.36,0.703,0.843,0.936
0.365,0.704,0.845,0.938
0.37,0.705,0.846,0.94
0.375,0.706,0.848,0.942
0.38,0.707,0.849,0.943
0.385,0.707,0.85,0.945
0.39,0.708,0.85,0.945
0.395,0.707,0.851,0.946
0.4,0.707,0.851,0.946
0.405,0.705,0.85,0.946
0.41,0.704,0.849,0.946
0.415,0.702,0.848,0.946
0.42,0.7,0.846,0.945
0.425,0.698,0.845,0.944
0.43,0.695,0.842,0.942
0.435,0.692,0.84,0.941
0.44,0.688,0.836,0.938
0.445,0.684,0.833,0.936
0.45,0.679,0.829,0.933
0.455,0.674,0.824,0.929
0.46,0.668,0.819,0.926
0.465,0.662,0.814,0.922
0.47,0.655,0.809,0.917
0.475,0.649,0.803,0.913
0.48,0.642,0.797,0.908
0.485,0.634,0.79,0.903
0.49,0.627,0.783,0.897
0.495,0.619,0.775,0.891
0.5,0.611,0.767,0.884
0.505,0.602,0.758,0.877
0.51,0.593,0.748,0.868
0.515,0.583,0.737,0.859
0.52,0.572,0.726,0.849
0.525,0.561,0.713,0.837
0.53,0.55,0.699,0.825
0.535,0.537,0.685,0.811
0.54,0.524,0.669,0.797
0.545,0.511,0.653,0.781
0.55,0.496,0.636,0.764
0.555,0.482,0.618,0.747
0.56,0.467,0.599,0.728
0.565,0.451,0.58,0.709
0.57,0.435,0.56,0.689
0.575,0.419,0.54,0.668
0.58,0.403,0.519,0.647
0.585,0.386,0.498,0.625
0.59,0.369,0.477,0.603
0.595,0.352,0.456,0.581
0.6,0.336,0.435,0.558
0.605,0.319,0.414,0.536
0.61,0.303,0.393,0.513
0.615,0.287,0.373,0.491
0.62,0.271,0.354,0.47
0.625,0.256,0.334,0.448
0.63,0.242,0.316,0.427
0.635,0.228,0.298,0.407
0.64,0.215,0.281,0.387
0.645,0.202,0.264,0.368
0.65,0.19,0.248,0.349
0.655,0.179,0.233,0.33
0.66,0.168,0.218,0.312
0.665,0.157,0.204,0.294
0.67,0.147,0.19,0.277
0.675,0.138,0.177,0.261
0.68,0.129,0.165,0.245
0.685,0.121,0.154,0.23
0.69,0.113,0.143,0.215
0.695,0.105,0.133,0.201
0.7,0.099,0.123,0.187
0.705,0.092,0.114,0.175
0.71,0.086,0.106,0.163
0.715,0.08,0.098,0.152
0.72,0.075,0.091,0.141
0.725,0.069,0.084,0.131
0.73,0.065,0.078,0.122
0.735,0.06,0.072,0.113
0.74,0.056,0.067,0.105
0.745,0.052,0.062,0.098
0.75,0.048,0.057,0.091
0.755,0.044,0.053,0.084
0.76,0.041,0.049,0.079
0.765,0.038,0.045,0.073
0.77,0.035,0.042,0.068
0.775,0.032,0.039,0.064
0.78,0.029,0.036,0.06
0.785,0.027,0.033,0.056
0.79,0.025,0.031,0.053
0.795,0.023,0.029,0.05
0.8,0.021,0.027,0.047
0.805,0.019,0.025,0.044
0.81,0.018,0.023,0.042
0.815,0.016,0.021,0.039
0.82,0.015,0.02,0.037
0.825,0.014,0.019,0.035
0.83,0.013,0.017,0.034
0.835,0.012,0.016,0.032
0.84,0.011,0.015,0.03
0.845,0.01,0.014,0.029
0.85,0.009,0.013,0.027
0.855,0.009,0.012,0.026
0.86,0.008,0.012,0.025
0.865,0.008,0.011,0.024
0.87,0.007,0.01,0.023
0.875,0.007,0.01,0.022
0.88,0.006,0.009,0.021
0.885,0.006,0.009,0.02
0.89,0.006,0.009,0.019
0.895,0.006,0.008,0.019
0.9,0.005,0.008,0.018
0.905,0.005,0.008,0.017
0.91,0.005,0.007,0.016
0.915,0.005,0.007,0.016
0.92,0.005,0.007,0.015
0.925,0.005,0.006,0.015
0.93,0.004,0.006,0.014
0.935,0.004,0.005,0.014
0.94,0.003,0.007,0.013
0.945,0.005,0.005,0.013
0.95,0.003,0.007,0.012
0.955,0.005,0.004,0.011
0.96,0.003,0.006,0.012
0.965,0.005,0.004,0.011
0.97,0.003,0.005,0.012
0.975,0.004,0.005,0.01
0.98,0.003,0.005,0.011
0.985,0.003,0.005,0.009
0.99,0.003,0.004,0.009
0.995,0.003,0.005,0.01
1,0.004,0.003,0.009
